url,listing_type,title,price,neighborhood,city,state,area,bedrooms,suites,bathrooms,parking,main_image,description,reference,building,usage_type,video_link,infrastructures
https://www.allegaimoveis.com/imovel/venda/conjunto-sala-comercial-em-curitiba-pr-no-bairro-batel-9685660,venda,"Sala em Curitiba, no bairro Batel - Referência: 717 - Human Batel","R$ 426.700,00",Batel,Curitiba,PR,"22,36 m²",,,1,,https://static.orulo.com.br/images/properties/large/831088.jpg?1639063450,"UM POUCO MAIS SOBRE O IMÓVEL
O novo centro médico de saúde integrada no Batel. A localização do empreendimento foi escolhida estrategicamente próximo aos melhores hospitais da cidade. Além disso, o bairro oferece qualidade de vida, estrutura completa, pontos comerciais, shoppings, restaurantes e excelentes vias de acesso. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",717 - Human Batel,Human Batel,comercial,,Jardim; Portaria; Porte cochère; Sala de reuniões; Vestiários
https://www.allegaimoveis.com/imovel/locacao/apartamento-em-curitiba-pr-no-bairro-campo-comprido-9064989,locação,"Apartamento mobiliado p/ alugar no Campo Comprido – 2 quartos, 1 suíte, 50m², no Spazio Celebrare","Aluguel
R$ 1.900,00",Campo Comprido,Curitiba,PR,"50,68 m²",2,1,2,,https://www.infocenterhost2.com.br/crm/fotosimovel/9064989/1418689190-apartamento-curitiba-campo-comprido_300.jpg,"UM POUCO MAIS SOBRE O IMÓVEL
Conforto, praticidade e excelente localização em um só lugar! Este apartamento mobiliado está disponível para locação no condomínio Spazio Celebrare, localizado na Rua Renato Polatti, nº 3539, no bairro Campo Comprido.

Com 50,68m² de área privativa, o imóvel é ideal para quem busca comodidade e um espaço bem distribuído. O apartamento possui:
2 dormitórios, sendo 1 suíte
Sala ampla com bom aproveitamento de espaço
Cozinha funcional com área de serviço integrada
2 banheiros
1 vaga de garagem

Localizado em uma região com excelente infraestrutura, o condomínio está próximo a postos de combustível, restaurantes, farmácias, barbearia e diversos comércios locais, oferecendo conveniência no dia a dia.
O Spazio Celebrare é sinônimo de bem-estar, e este apartamento é uma ótima escolha para quem valoriza conforto, localização e praticidade.
Agende já sua visita e venha conhecer seu novo lar!",LO-AP0108,Spazio Celebrare,residencial,,
https://www.allegaimoveis.com/imovel/venda/apartamento-em-curitiba-pr-no-bairro-hauer-8995216,venda,"Apartamento em Curitiba, no bairro Hauer - Referência: 203 - Barcelona","R$ 465.000,00",Hauer,Curitiba,PR,"60,23 m²",2,1,2,,https://static.orulo.com.br/images/properties/large/1699331.jpg?1709751860,"UM POUCO MAIS SOBRE O IMÓVEL
Aqui começa uma nova vida para a sua família, em um condomínio com lazer, segurança e excelente localização, praticamente perto de tudo! Chegou a hora de comprar o seu apartamento em Curitiba, do jeito que você e sua família sonhavam e com todas as facilidades. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",203 - Barcelona,Barcelona,residencial,,Elevador social; Pet place; Portaria; Segurança
https://www.allegaimoveis.com/imovel/venda/cobertura-em-curitiba-pr-no-bairro-mossungue-8590123,venda,"Cobertura Duplex em Curitiba, no bairro Mossunguê - Referência: 601A - Farfalle","R$ 2.961.200,00",Mossunguê,Curitiba,PR,"212,55 m²",3,3,4,,https://static.orulo.com.br/images/properties/large/2119746.jpeg?1740503048,"UM POUCO MAIS SOBRE O IMÓVEL
Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",601A - Farfalle,Farfalle,residencial,,Brinquedoteca; Churrasqueira condominial; Elevador social; Espaço gourmet; Fire place; Piscina adulto; Portaria; Salão de festas; Segurança; Spa; Terraço
https://www.allegaimoveis.com/imovel/venda/studio-em-curitiba-pr-no-bairro-batel-9246267,venda,"Studio em Curitiba, no bairro Batel - Referência: 509 - Turin","R$ 697.110,00",Batel,Curitiba,PR,"32,44 m²",1,,1,,https://static.orulo.com.br/images/properties/large/2234323.jpg?1749661669,"UM POUCO MAIS SOBRE O IMÓVEL
Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",509 - Turin,Turin,residencial,,Academia; Bar; Coworking; Elevador social; Espaço gourmet; Fire place; Lounge; Piscina adulto; Portaria; Praça; Sala de jogos; Sauna; Segurança; Solarium; Spa; Terraço
https://www.allegaimoveis.com/imovel/venda/apartamento-em-curitiba-pr-no-bairro-merces-9020923,venda,"Apartamento em Curitiba, no bairro Mercês - Referência: 203 - Merci Mercês","R$ 1.402.410,00",Mercês,Curitiba,PR,"109,31 m²",3,1,3,,https://static.orulo.com.br/images/properties/large/2119869.jpeg?1740516945,"UM POUCO MAIS SOBRE O IMÓVEL
Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",203 - Merci Mercês,Merci Mercês,residencial,,Academia; Bicicletário; Brinquedoteca; Elevador social; Espaço gourmet; Lounge; Piscina adulto; Portaria; Segurança
https://www.allegaimoveis.com/imovel/venda/cobertura-em-curitiba-pr-no-bairro-cristo-rei-9048184,venda,"Cobertura Duplex em Curitiba, no bairro Cristo Rei - Referência: 802 - Flag","R$ 2.945.760,00",Cristo Rei,Curitiba,PR,"208,94 m²",3,3,4,,https://static.orulo.com.br/images/properties/large/1832995.jpg?1721312267,"UM POUCO MAIS SOBRE O IMÓVEL
Flag é bandeira, um símbolo, um conceito. Grandes nomes a ergueram em momento únicos. O simples gesto de carregá-la já traz em si o merecimento pela luta e pelo esforço. Só quem viveu sabe como foi chegar até aqui. Agora, a Porto Camargo quer homenagear você e sua grande conquista. Mostre ao mundo. Viva no Flag! Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",802 - Flag,Flag,residencial,,Academia; Brinquedoteca; Espaço gourmet; Portaria; Salão de festas; Segurança; Spa; Terraço
https://www.allegaimoveis.com/imovel/venda/apartamento-em-curitiba-pr-no-bairro-ahu-7629251,venda,Aura Residencial,"R$ 1.660.000,00",Ahú,Curitiba,PR,"169,61 m²",3,3,3,,https://dwvimagesv1.b-cdn.net/images/developments/278032eb-a661-4bda-8431-c14cc9f19cad/personal/5606231ed61d6b2e9b2ab016470d349f35b37fd6d10a665a55c2bf031847589c.jpg,"UM POUCO MAIS SOBRE O IMÓVEL
-> Empreendimento

Piscina térmica
Academia
Playground
Sauna
Salão de festas
Brinquedoteca
Elevador
Espaço gourmet
Interfone


-> Unidade

Varanda Gourmet
Lavabo
Cozinha
Churrasqueira
Varanda
Banheiro Social



CONDIÇÕES DE PAGAMENTO

Parcelamento (31x) - R$ 17.831,61
Entrada (1x) - R$ 199.200,00
Balão 01 (1x) - R$ 58.100,00
Balão 02 (1x) - R$ 58.100,00
Balão 03 (1x) - R$ 58.100,00
Balão 04 (1x) - R$ 58.100,00
Financiamento (1x) - R$ 1.062.400,00


Incorporação: 1-90.445",294815,Aura Residencial,residencial,https://vz-093bee2c-414.b-cdn.net/df8e11f1-f3e8-4183-9567-d8b446be5144/play_720p.mp4,Piscina térmica; Academia; Playground; Sauna; Salão de festas; Brinquedoteca; Elevador; Espaço gourmet; Interfone
https://www.allegaimoveis.com/imovel/venda/apartamento-em-curitiba-pr-no-bairro-campina-do-siqueira-9526250,venda,"Apartamento em Curitiba, no bairro Campina do Siqueira - Referência: 608 Torre1 - Hytte","R$ 1.092.168,70",Campina do Siqueira,Curitiba,PR,"82,52 m²",2,1,2,,https://static.orulo.com.br/images/properties/large/2281624.jpg?1753377657,"UM POUCO MAIS SOBRE O IMÓVEL
HYTTE é um refúgio em um dos bairros mais arborizados de Curitiba, o Ecoville. Um lugar cercado pelo verde, onde a arquitetura e a beleza dos cenários naturais coexistem, transformando ambientes em paisagens visuais que confortam a alma, trazendo conforto e inspiração para um cotidiano mais leve. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",608 Torre1 - Hytte,Hytte,residencial,,Academia; Bicicletário; Brinquedoteca; Churrasqueira condominial; Coworking; Elevador social; Espaço gourmet; Espaço gourmet externo; Piscina adulto; Playground; Portaria; Quadra poliesportiva; Salão de festas; Segurança; Spa
https://www.allegaimoveis.com/imovel/venda/apartamento-em-curitiba-pr-no-bairro-bigorrilho-9526225,venda,"Apartamento em Curitiba, no bairro Bigorrilho - Referência: 0401 - Casa Milano","R$ 2.352.230,00",Bigorrilho,Curitiba,PR,"128,00 m²",2,2,3,,https://static.orulo.com.br/images/properties/large/616872.jpg?1620405795,"UM POUCO MAIS SOBRE O IMÓVEL
Casa Milano, a união entre moda e arquitetura. Em cada linha, um conceito. Cada forma sem igual. Localizado em um bairro que possui toda a sofisticação e nobreza residencial, esse pequeno cosmos curitibano garante todo o requinte e funcionalidade urbana a seus moradores. Seu charme imediatamente conquista com o contraste entre empreendimentos de alto padrão e suas ruas e praças arborizadas. Reunindo opções gastronômicas para agradar até os paladares mais exigentes, feiras regionais, hospitais, colégios e as mais variadas conveniências, o bairro oferece acesso fácil e rápido tanto ao Parque Barigui quanto ao centro de Curitiba. Ou seja, o Champagnat é um verdadeiro desfile de possibilidades para quem aprecia o que a vida tem de melhor. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",0401 - Casa Milano,Casa Milano,residencial,https://youtu.be/SAk7ZyLHiHw?si=iiGP-nVb3S8fjCIp,
