property_id,title,price,bedrooms,bathrooms,area_m2,property_type,status,updated_at,created_at
zhrppmusqGYjwWxvBZj6,"Casa para Alugar na Cidade Industrial – 1 Quarto, Churrasqueira | Curitiba – R$ 1.600",,1,1,50.0,house,active,2025-10-02T01:31:25.151596+00:00,2025-10-02T01:31:25.042572+00:00
yStk5ZfAIvBxaRRHQ7d7,Sobrado moderno com 3 quartos e terraço panorâmico no Atuba – Vista para o Parque!,799500.0,3,4,184.0,apartment,active,2025-10-02T01:31:24.95055+00:00,2025-10-02T01:31:24.848528+00:00
xxciEUldiOxQZJkaDTgI,"*TRIPLEX NOVO!!!: 3 Quartos, (1 Suíte), 2 Vagas e Amplo Espaço* ESTUDA IMÓVEL E/OU VEÍCULO COMO PARTE DE PAGAMENTO**",655000.0,3,3,88.17,apartment,active,2025-10-02T01:31:24.775511+00:00,2025-10-02T01:31:24.634481+00:00
xj7QjVvHrChsVqn0l5QC,"Luxuosa Casa Nova á venda em Santa Felicidade com Jardim Amplo, 3 Suítes e Ótima Localização é na Allega",1700000.0,4,5,280.0,house,active,2025-10-02T01:31:24.554475+00:00,2025-10-02T01:31:24.377807+00:00
xHNrtMwXzbFt229Z5fuc,"Sobrado para locação | 04 quartos sendo 01 suíte, Mossunguê - Curitiba/PR",,4,3,150.0,apartment,active,2025-10-02T01:31:24.268798+00:00,2025-10-02T01:31:24.149762+00:00
wNQhyWoAAQZ4kznoTfQA,"terreno ZR3 com 14m de testada à venda, 364 m² por R$ 420.000 - Boa Vista - Curitiba/PR",420000.0,,,,land,active,2025-10-02T01:31:24.08075+00:00,2025-10-02T01:31:23.977719+00:00
vvlX3vsT4hxV0UPKavbv,"Terreno à venda, 456 m² por R$ 900.000,00 - Santa Quitéria - Curitiba/PR",900000.0,,,456.0,land,active,2025-10-02T01:31:23.91672+00:00,2025-10-02T01:31:23.809678+00:00
vb6mIEkBp6ltbyIjNqpD,"Sobrado à venda no Água Verde em Curitiba – 4 dormitórios, suíte, 3 vagas e ático com lareira",1150000.0,4,5,211.44,apartment,active,2025-10-02T01:31:23.731661+00:00,2025-10-02T01:31:23.622645+00:00
uOskVxTzhFG0uv1PQXGF,"Loja para Alugar no Orleans em Curitiba – 39m² com Lavabo, Piso Novo e Ótima Localização",,,,,apartment,active,2025-10-02T01:31:23.55063+00:00,2025-10-02T01:31:23.4596+00:00
uDK8cGghMel7Vx1bzn4s,SOBRADO NOVO - RECÉM ENTREGUE - 76m² de área construída ****Melhor localização no Vitória Regia - CIC,370000.0,2,2,76.0,apartment,active,2025-10-02T01:31:23.391599+00:00,2025-10-02T01:31:23.304585+00:00
smsdc97ArqqNSeHi24Zb,"Casa Ampla com Edícula e Acessos Automatizados - Próx. ao Terminal Pinheirinho, Aceita Permuta!",1400000.0,5,3,444.0,house,active,2025-10-02T01:31:23.23555+00:00,2025-10-02T01:31:23.140529+00:00
sPNXINM9mnDgFR8blBNx,"Sobrado com 4 dormitórios, 3 vagas de garagem à venda, 315m² por R$ 1.100.000,00 - Boa Vista - Curitiba/PR",1100000.0,4,4,300.0,apartment,active,2025-10-02T01:31:23.072515+00:00,2025-10-02T01:31:22.977498+00:00
s7TZq5gkLkPuldcRhbkY,Terreno em Condominio à Venda no Bairro Tatuquara – Oportunidade Imperdível!,140000.0,,,,land,active,2025-10-02T01:31:22.916478+00:00,2025-10-02T01:31:22.817455+00:00
qiw3tWxPagVFQSXHk5pZ,"Sobrado à venda no Bairro Alto - Conforto, Estilo e Praticidade em Curitiba/PR",849000.0,4,4,220.0,apartment,active,2025-10-02T01:31:22.742438+00:00,2025-10-02T01:31:22.61842+00:00
ovTmABxiubYbjxHSNFzs,"Conjunto Comercial / Sala para alugar, 54 m² por R$ 1.500,00/mês - Rebouças - Curitiba/PR",,,1,54.13,commercial,active,2025-10-02T01:31:22.535392+00:00,2025-10-02T01:31:22.430371+00:00
onjKN2bvFC4IgUWZjcZY,"Lote Residencial 750m² à Venda no Condomínio Fechado – Rua da Pedreira, Atuba, Curitiba",1500000.0,,,750.0,land,active,2025-10-02T01:31:22.353352+00:00,2025-10-02T01:31:22.22633+00:00
nQAWofr0fB0JGHWUhef9,"APARTAMENTO em CURITIBA - PR, no bairro Mercês - Referência VE-AP0142",,,1,,apartment,active,2025-10-02T01:31:22.156316+00:00,2025-10-02T01:31:22.025278+00:00
nMjaArlKcDxk868rGM1S,"Sobrado Luxuoso à Venda | 3 Quartos, 4 Banheiros, 295m² | Curitiba",2999000.0,3,4,,apartment,active,2025-10-02T01:31:21.94226+00:00,2025-10-02T01:31:21.781234+00:00
maqyIuwMolc7G0Aq0tWL,ÓTIMO TERRENO DE ESQUINA - 510M² - SANTO INÁCIO/SÃO BRÁS,690000.0,,1,,land,active,2025-10-02T01:31:21.706207+00:00,2025-10-02T01:31:21.583202+00:00
kkEKusvvfJD3qMHzJEsn,Sobrado com 158 m² à venda no bairro Cidade Industrial/Gabineto em Curitiba/PR,580000.0,3,3,158.0,apartment,active,2025-10-02T01:31:21.507163+00:00,2025-10-02T01:31:21.36313+00:00
kUxvciV91cy4TFi0AtIN,"Oportunidade TRIPLEX (Comercial e Residencial), no Bairro VITÓRIA RÉGIA",630000.0,5,5,,apartment,active,2025-10-02T01:31:21.281112+00:00,2025-10-02T01:31:21.141081+00:00
jShemGSa2x2oULE8dftv,"SOBRADO ELEGANTE, ESPAÇOSO E ENSOLARADO À VENDA NO GUABIROTUBA",1150000.0,4,4,280.0,apartment,active,2025-10-02T01:31:21.056062+00:00,2025-10-02T01:31:20.902026+00:00
i4Sj3wLcIp26lmhjCf6V,Casa TÉRREA à Venda | 3 Quartos | 186m² área privativa| 4 vagas -  Água Verde – Curitiba  LOCALIZAÇÃO PRIVILEGIADA. ZR4,2400000.0,3,4,185.0,house,active,2025-10-02T01:31:20.814006+00:00,2025-10-02T01:31:20.709984+00:00
hVSEsTz9ZnTXcF7fndAe,"Sobrado com 4 dormitórios à venda, 363 m² por R$ 990.000,00 - Xaxim - Curitiba/PR",990000.0,4,5,363.0,apartment,active,2025-10-02T01:31:20.615962+00:00,2025-10-02T01:31:20.453574+00:00
fRvRu7PsS4xwVwg6MdfC,"Casa com 6 dormitórios à venda, 353 m² por R$ 1.925.000 - Guabirotuba - Curitiba/PR",1925000.0,6,6,353.1,house,active,2025-10-02T01:31:20.376979+00:00,2025-10-02T01:31:20.246519+00:00
f8uMUllGVFuC46tNB2QL,"Sobrado à venda em Santa Felicidade, Curitiba – 3 quartos, 190m², excelente localização",800000.0,3,3,190.8,apartment,active,2025-10-02T01:31:20.186308+00:00,2025-10-02T01:31:20.091286+00:00
eaNegYEudBaqXFV1yFET,"Sobrado Triplex de Alto Padrão, 4 quartos sendo 3 suítes com 3 vagas no Boqueirão - Curitiba - Pr Proximo SESI/SENAI do Boqueirão",850000.0,4,4,150.0,apartment,active,2025-10-02T01:31:20.030273+00:00,2025-10-02T01:31:19.929251+00:00
d9UIDQAS8omsCLak9ryi,"Venda terreno comercial - Área total de 641,87 m² - Cristo Rei",4000000.0,,,,commercial,active,2025-10-02T01:31:19.839241+00:00,2025-10-02T01:31:19.698197+00:00
c7sgFZzowd7LG0LiPjmv,Casa com 2 pavimentos independentes à venda na Cidade Industrial - 150 m² de área construída– Curitiba/PR,380000.0,4,2,150.0,house,active,2025-10-02T01:31:19.631192+00:00,2025-10-02T01:31:19.52916+00:00
bwuBYwgS5E2uxpfdlaUc,"Venda Sobrado de Alto Padrão com 3 suítes, 2 vagas, área gourmet com churrasqueira. Centro - SJP",1199000.0,3,4,160.0,apartment,active,2025-10-02T01:31:19.456143+00:00,2025-10-02T01:31:19.338124+00:00
bMnxpDGqel5lQuIEGbPl,ÓTIMA OPORTUNIDADE - SITIO CERCADO - PRONTO PARA CONSTUIR,770000.0,,,480.0,apartment,active,2025-10-02T01:31:19.279105+00:00,2025-10-02T01:31:19.171094+00:00
b3n5pFSoGDMMCkzxke6U,PRONTO PARA CONSTRUIR - SITIO CERCADO TERRENO DE ESQUINA,295000.0,,,,land,active,2025-10-02T01:31:19.11007+00:00,2025-10-02T01:31:19.01406+00:00
aJcx7RFFdFIZd64FYk3s,"Sobrado com 3 dormitórios à venda, 115 m² por R$ 649.000 - Bairro Alto - Curitiba/PR",649000.0,3,4,,apartment,active,2025-10-02T01:31:18.948032+00:00,2025-10-02T01:31:18.821003+00:00
